station_id,tile_id,country,river,station,latitude,longitude,area,reference.db,reference.no,metadata_country,metadata_river,metadata_station,metadata_latitude,metadata_longitude,metadata_area,characteristics_quality,characteristics_latitude,characteristics_longitude,characteristics_area_est,characteristics_dist_km,metadata_joined,characteristics_joined,catchment_shapefile_exists,point_geometry_available,basin_geometry_available,geometry_readiness,geometry_source
us_0005870,N35_W100,US,COBB CREEK,"NEAR FORT COBB, OK",35.14367036,-98.4428358,311.0,usgs,7326000,US,COBB CREEK,"NEAR FORT COBB, OK",35.14367036,-98.4428358,311.0,High,35.1437,-98.4396,829.4318,0.294,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
za_0000234,S25_E025,ZA,ELEFANTES / OLIFANTSRIVIER,LOSKOP NOORD (27527001),-24.9264,29.3894,16622.0,grdb,1196102,ZA,ELEFANTES / OLIFANTSRIVIER,LOSKOP NOORD (27527001),-24.9264,29.3894,16622.0,High,-24.9271,29.3896,16619.95,0.0804,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
za_0000249,S25_E025,ZA,MATLABAS,HAARLEM EAST (27546004),-24.1594,27.4792,1054.0,grdb,1196300,ZA,MATLABAS,HAARLEM EAST (27546004),-24.1594,27.4792,1054.0,High,-24.1604,27.4812,1043.213,0.2312,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
za_0000254,S25_E025,ZA,MOKOLORIVIER,ZANDRIVIER (27546002),-24.2828,28.0897,1801.0,grdb,1196360,ZA,MOKOLORIVIER,ZANDRIVIER (27546002),-24.2828,28.0897,1801.0,High,-24.2813,28.0896,1808.118,0.167,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
za_0000255,S25_E025,ZA,STERKSTROOM,DOORNSPRUIT (27546008),-24.2164,27.9731,499.0,grdb,1196370,ZA,STERKSTROOM,DOORNSPRUIT (27546008),-24.2164,27.9731,499.0,High,-24.2146,27.9729,486.8988,0.201,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
za_0000256,S25_E025,ZA,TAMBOTIERIVIER,BLAKENEY (27546007),-23.7636,27.9081,399.0,grdb,1196380,ZA,TAMBOTIERIVIER,BLAKENEY (27546007),-23.7636,27.9081,399.0,High,-23.7646,27.9062,392.7989,0.2229,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
za_0000257,S25_E025,ZA,LIMPOPO,BOTSWANA OXENHAM RANCH,-22.9508,27.9736,98160.0,grdb,1196400,ZA,LIMPOPO,BOTSWANA OXENHAM RANCH,-22.9508,27.9736,98160.0,High,-22.9521,27.9729,101834.3,0.1612,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
za_0000264,S25_E025,ZA,SANDRIVIER (TRIB. LIMPOPO),ZAMENKOMST (27543003),-23.0674,29.5789,6731.0,grdb,1196500,ZA,SANDRIVIER (TRIB. LIMPOPO),ZAMENKOMST (27543003),-23.0674,29.5789,6731.0,High,-23.0604,29.5771,6696.31,0.7993,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
za_0000265,S25_E025,ZA,LIMPOPO,BEITBRUG U/S,-22.2244,29.9869,201000.0,grdb,1196550,ZA,LIMPOPO,BEITBRUG U/S,-22.2244,29.9869,201000.0,High,-22.2229,29.9854,204011.5,0.2271,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
za_0000267,S25_E025,ZA,BAD SE LOOP,VISCHGAT (27544010),-24.5786,28.6394,70.0,grdb,1196560,ZA,BAD SE LOOP,VISCHGAT (27544010),-24.5786,28.6394,70.0,High,-24.5771,28.6354,68.7748,0.4372,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
za_0000268,S25_E025,ZA,OLIFANTSPRUIT,OLIFANTSPOORT (27544012),-24.6653,28.475,120.0,grdb,1196561,ZA,OLIFANTSPRUIT,OLIFANTSPOORT (27544012),-24.6653,28.475,120.0,Medium,-24.6563,28.4729,126.784,1.0224,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
za_0000269,S25_E025,ZA,RASLOOPRIVIER,SUSSENSVALE (27544018),-24.7714,28.3481,12.0,grdb,1196562,ZA,RASLOOPRIVIER,SUSSENSVALE (27544018),-24.7714,28.3481,12.0,High,-24.7729,28.3479,12.0264,0.1679,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
za_0000270,S25_E025,ZA,HESSIE SE WATER,RIETSPRUIT (27544019),-24.6631,28.4547,17.0,grdb,1196563,ZA,HESSIE SE WATER,RIETSPRUIT (27544019),-24.6631,28.4547,17.0,High,-24.6646,28.4604,16.6963,0.5993,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
za_0000271,S25_E025,ZA,MIDDELFONTEINSPRUIT,MIDDELFONTEIN (27544020),-24.6714,28.5603,43.0,grdb,1196564,ZA,MIDDELFONTEINSPRUIT,MIDDELFONTEIN (27544020),-24.6714,28.5603,43.0,High,-24.6646,28.5562,42.7115,0.8616,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
za_0000272,S25_E025,ZA,DE WETSPRUIT,GROENVALEY (27544021),-24.6333,28.5964,16.0,grdb,1196565,ZA,DE WETSPRUIT,GROENVALEY (27544021),-24.6333,28.5964,16.0,Medium,-24.6313,28.5979,17.0892,0.269,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
za_0000273,S25_E025,ZA,HARTEBEESTLAAGTESPRUIT,HARTEBEESTLAAGTE (27544022),-24.602,28.6075,2.0,grdb,1196566,ZA,HARTEBEESTLAAGTESPRUIT,HARTEBEESTLAAGTE (27544022),-24.602,28.6075,2.0,High,-24.6021,28.6104,1.9424,0.2932,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
za_0000274,S25_E025,ZA,LEPHALALA,MUISVOGELKRAAL (27545004),-23.9817,28.3994,638.0,grdb,1196570,ZA,LEPHALALA,MUISVOGELKRAAL (27545004),-23.9817,28.3994,638.0,High,-23.9813,28.4021,635.352,0.2777,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
zw_0000009,S25_E025,ZW,KHAMI,SLIGHTS WEIR (63351108),-20.0833,28.5333,481.0,grdb,1491241,ZW,KHAMI,SLIGHTS WEIR (63351108),-20.0833,28.5333,481.0,Medium,-20.0563,28.5562,438.8835,3.8361,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
zw_0000069,S25_E025,ZW,SHASHANI,ANTELOPE DAM U/S G/W (63535177),-20.9667,28.35,551.0,grdb,1496150,ZW,SHASHANI,ANTELOPE DAM U/S G/W (63535177),-20.9667,28.35,551.0,High,-20.9729,28.3521,544.7816,0.7226,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
zw_0000070,S25_E025,ZW,MPOPONA,MPOPONA DAM D/S FLUME (63535223),-20.5667,28.3833,112.0,grdb,1496160,ZW,MPOPONA,MPOPONA DAM D/S FLUME (63535223),-20.5667,28.3833,112.0,High,-20.5604,28.3812,112.2146,0.7334,True,True,True,True,True,basin_geometry_ready,GSIM catchment shapefile archive; local path removed
