response_definition,slice_type,slice_name,control_family,q_level,target_probability,lambda_threshold_discount,support_integrity_status,tiles,rows,high_flow_events,bootstrap_draws_requested,bootstrap_draws_valid,lambda_bootstrap_p05,lambda_bootstrap_p50,lambda_bootstrap_p95,lambda_positive_share,ci_status
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.8,0.05,-0.0082644628099173,support_ok,130,19890,4426,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.8,0.1,-0.0082644628099173,support_ok,130,19890,4426,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.8,0.15,-0.0082644628099173,support_ok,130,19890,4426,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.85,0.05,-0.0082644628099173,support_ok,130,19890,3391,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.85,0.1,-0.0082644628099173,support_ok,130,19890,3391,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.85,0.15,-0.0082644628099173,support_ok,130,19890,3391,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.9,0.05,-0.0082644628099173,support_ok,130,19890,2309,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.9,0.1,-0.0082644628099173,support_ok,130,19890,2309,100,100,-0.0134617768595041,-0.0082644628099173,-0.0036704545454545,0.0,ci_built
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.9,0.15,-0.0082644628099173,support_ok,130,19890,2309,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.925,0.05,-0.0082644628099173,support_ok,130,19890,1766,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.925,0.1,-0.0082644628099173,support_ok,130,19890,1766,100,100,-0.0132066115702479,-0.0082644628099173,0.0322190082644627,0.08,ci_built
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.925,0.15,0.4979338842975206,support_ok,130,19890,1766,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.95,0.05,-0.0082644628099173,support_ok,130,19890,1190,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.95,0.1,0.487603305785124,support_ok,130,19890,1190,100,100,0.3327861570247934,0.5,0.6675619834710743,1.0,ci_built
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.95,0.15,0.8471074380165289,support_ok,130,19890,1190,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.975,0.05,0.4318181818181818,support_ok,130,19890,611,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.975,0.1,0.5578512396694215,support_ok,130,19890,611,100,77,0.3462809917355372,0.5433884297520661,0.7214876033057852,1.0,ci_built
mean_daily_mean_dis24,era,1981-1994,rain_persistence_matched,0.975,0.15,,invalid_lambda,130,19890,611,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.8,0.05,0.0002066115702479,support_ok,130,19890,4426,100,0,,,,,ci_not_run_by_scope
mean_daily_mean_dis24,era,1981-1994,residual_state_matched,0.8,0.1,0.0002066115702479,support_ok,130,19890,4426,100,0,,,,,ci_not_run_by_scope
