null_family,draw,statistic,value
lag_covariance_surrogate_features,52,lag_family_full_r2,0.3188554139515547
within_source_target_permutation,52,xi_star_r2,0.009994539790389778
within_source_target_permutation,53,lag_family_full_r2,0.49627248147569003
source_block_target_permutation,53,lag_family_full_r2,0.45572459204949956
lag_covariance_surrogate_features,53,lag_family_full_r2,0.08195767570583001
within_source_target_permutation,53,xi_star_r2,0.033983183865209265
within_source_target_permutation,54,lag_family_full_r2,0.5006338319001937
source_block_target_permutation,54,lag_family_full_r2,0.21161850273532035
lag_covariance_surrogate_features,54,lag_family_full_r2,0.3482725322971437
within_source_target_permutation,54,xi_star_r2,0.10638806455723582
within_source_target_permutation,55,lag_family_full_r2,0.5171480839070219
source_block_target_permutation,55,lag_family_full_r2,0.5616771637897997
lag_covariance_surrogate_features,55,lag_family_full_r2,0.17923444880320472
within_source_target_permutation,55,xi_star_r2,0.05899308182001439
within_source_target_permutation,56,lag_family_full_r2,0.48983726033362807
source_block_target_permutation,56,lag_family_full_r2,0.5413266691757452
lag_covariance_surrogate_features,56,lag_family_full_r2,0.17611915919465337
within_source_target_permutation,56,xi_star_r2,0.03549813796632928
within_source_target_permutation,57,lag_family_full_r2,0.5097004111378529
source_block_target_permutation,57,lag_family_full_r2,0.33413528203020904
lag_covariance_surrogate_features,57,lag_family_full_r2,0.1766861515856687
within_source_target_permutation,57,xi_star_r2,0.0002730762980019952
within_source_target_permutation,58,lag_family_full_r2,0.49433857891478583
source_block_target_permutation,58,lag_family_full_r2,0.4858971501046795
lag_covariance_surrogate_features,58,lag_family_full_r2,0.09603376908816763
within_source_target_permutation,58,xi_star_r2,0.012815221349011807
within_source_target_permutation,59,lag_family_full_r2,0.5052558611124274
source_block_target_permutation,59,lag_family_full_r2,0.3596678882385993
lag_covariance_surrogate_features,59,lag_family_full_r2,0.18308207881174898
within_source_target_permutation,59,xi_star_r2,0.014203026356063964
within_source_target_permutation,60,lag_family_full_r2,0.5589473723729358
source_block_target_permutation,60,lag_family_full_r2,0.3065492713051092
lag_covariance_surrogate_features,60,lag_family_full_r2,0.11967217631296634
within_source_target_permutation,60,xi_star_r2,0.09235727540852023
within_source_target_permutation,61,lag_family_full_r2,0.4922299462909211
source_block_target_permutation,61,lag_family_full_r2,0.2100995655062703
lag_covariance_surrogate_features,61,lag_family_full_r2,0.06450265481698503
within_source_target_permutation,61,xi_star_r2,0.040139484177714735
within_source_target_permutation,62,lag_family_full_r2,0.45456912417855766
source_block_target_permutation,62,lag_family_full_r2,0.10123380890453071
lag_covariance_surrogate_features,62,lag_family_full_r2,0.15775626392921194
within_source_target_permutation,62,xi_star_r2,0.010796626334567905
within_source_target_permutation,63,lag_family_full_r2,0.45909852316461097
source_block_target_permutation,63,lag_family_full_r2,0.5326519173010574
lag_covariance_surrogate_features,63,lag_family_full_r2,0.23464259580231506
within_source_target_permutation,63,xi_star_r2,0.02310528846198434
within_source_target_permutation,64,lag_family_full_r2,0.5105112528531204
source_block_target_permutation,64,lag_family_full_r2,0.7363013991183303
lag_covariance_surrogate_features,64,lag_family_full_r2,0.22518714168201404
within_source_target_permutation,64,xi_star_r2,0.016486216667121245
within_source_target_permutation,65,lag_family_full_r2,0.5738154798503683
source_block_target_permutation,65,lag_family_full_r2,0.2918670022445654
lag_covariance_surrogate_features,65,lag_family_full_r2,0.2876742371636648
within_source_target_permutation,65,xi_star_r2,0.07781537657464188
within_source_target_permutation,66,lag_family_full_r2,0.44389746879838676
source_block_target_permutation,66,lag_family_full_r2,0.2049617862263926
lag_covariance_surrogate_features,66,lag_family_full_r2,0.06824881504850855
within_source_target_permutation,66,xi_star_r2,0.031026849523584032
within_source_target_permutation,67,lag_family_full_r2,0.5276488177797338
source_block_target_permutation,67,lag_family_full_r2,0.590134620966537
lag_covariance_surrogate_features,67,lag_family_full_r2,0.3039953643408626
within_source_target_permutation,67,xi_star_r2,0.046073001281445425
within_source_target_permutation,68,lag_family_full_r2,0.6941755365131705
source_block_target_permutation,68,lag_family_full_r2,0.6701164500985504
lag_covariance_surrogate_features,68,lag_family_full_r2,0.17350813784267904
within_source_target_permutation,68,xi_star_r2,0.19693158948838096
within_source_target_permutation,69,lag_family_full_r2,0.5662506874536231
source_block_target_permutation,69,lag_family_full_r2,0.45813220950475064
lag_covariance_surrogate_features,69,lag_family_full_r2,0.14394550402020312
within_source_target_permutation,69,xi_star_r2,0.0003061057067219597
within_source_target_permutation,70,lag_family_full_r2,0.436921343052716
source_block_target_permutation,70,lag_family_full_r2,0.43601525712383526
lag_covariance_surrogate_features,70,lag_family_full_r2,0.11174295419648206
within_source_target_permutation,70,xi_star_r2,0.006231945967563046
within_source_target_permutation,71,lag_family_full_r2,0.5741276583962716
source_block_target_permutation,71,lag_family_full_r2,0.37217963910313356
lag_covariance_surrogate_features,71,lag_family_full_r2,0.12581207495727031
within_source_target_permutation,71,xi_star_r2,0.028645191620235932
within_source_target_permutation,72,lag_family_full_r2,0.5370830797770352
source_block_target_permutation,72,lag_family_full_r2,0.475733398485225
lag_covariance_surrogate_features,72,lag_family_full_r2,0.11554684746965438
within_source_target_permutation,72,xi_star_r2,0.0945624447580945
within_source_target_permutation,73,lag_family_full_r2,0.5053602668292463
source_block_target_permutation,73,lag_family_full_r2,0.45525177803145633
lag_covariance_surrogate_features,73,lag_family_full_r2,0.13340475911521243
within_source_target_permutation,73,xi_star_r2,0.09480722967566024
within_source_target_permutation,74,lag_family_full_r2,0.7008441982089217
source_block_target_permutation,74,lag_family_full_r2,0.24402452522822948
lag_covariance_surrogate_features,74,lag_family_full_r2,0.26289339152451374
within_source_target_permutation,74,xi_star_r2,0.20131063535541827
within_source_target_permutation,75,lag_family_full_r2,0.46492846700349955
source_block_target_permutation,75,lag_family_full_r2,0.2628936772118866
lag_covariance_surrogate_features,75,lag_family_full_r2,0.11513025074141159
within_source_target_permutation,75,xi_star_r2,0.01208942532382673
within_source_target_permutation,76,lag_family_full_r2,0.4948748108243687
source_block_target_permutation,76,lag_family_full_r2,0.40200515803701
lag_covariance_surrogate_features,76,lag_family_full_r2,0.15585215078356407
within_source_target_permutation,76,xi_star_r2,0.05350030278269036
within_source_target_permutation,77,lag_family_full_r2,0.4733984523580288
source_block_target_permutation,77,lag_family_full_r2,0.4329147461391165
