station_id,tile_id,country,river,station,latitude,longitude,catchment_area_km2,point_geometry_available,polygon_geometry_available,geometry_readiness
1160715,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,KARKLOOFRIVIER,SHAFTON (27662406),-29.38175,30.27775,341.0,True,False,station_point_only
1160717,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,STERKSPRUIT,GROOTHOEK (27662412),-29.42305556,30.48827778,435.0,True,False,station_point_only
1160720,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,UMGENI,PETRUS STROOM 27662413),-29.51261111,30.09441667,294.0,True,False,station_point_only
1160730,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,KLAAS SMITSRIVIER,WELTEVREDE (27711506),-31.92288889,26.78569444,2193.0,True,False,station_point_only
1160750,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,MOOIRIVIER,DOORNKLOOF,-29.07161111,30.24583333,1546.0,True,False,station_point_only
1160752,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,MOOIRIVIER,THE BEND (27661505),-29.36013889,29.881,267.0,True,False,station_point_only
1160755,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,KLEIN-MOOIRIVIER,DARTINGTON (27661506),-29.26619444,29.868,191.0,True,False,station_point_only
1160756,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,HLATIKULA,BROADMOOR (27661507),-29.23855556,29.78788889,111.0,True,False,station_point_only
1160763,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,ITITSA,XONKONXA,-31.23805556,28.85222222,4285.0,True,False,station_point_only
1160765,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,MOOIRIVIER,MACLEAR (27663509),-31.07166667,28.35361111,307.0,True,False,station_point_only
1160770,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,TINA,MAHLUNGULU (27663505),-31.03180556,28.8845,2573.0,True,False,station_point_only
1160775,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,MZIMVUBU,KROMDRAAI (27663508),-30.57066667,29.15016667,2483.0,True,False,station_point_only
1160785,LAT-040.0_-030.0_LON+0020.0_+0030.0,ZA,MZINTLAVA,SLANG FONTEIN (27663504),-30.56844444,29.42241667,1034.0,True,False,station_point_only
1160790,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,UMVOTI,MISTLEY (27662202),-29.16191667,30.63,316.0,True,False,station_point_only
1160810,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,WASBANKRIVIER,KUIKVLEI (27661303),-28.30986364,30.14780817,312.0,True,False,station_point_only
1160815,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,SUNDAYS RIVER,KLEINFONTEIN (27661304),-28.40485781,30.01280383,658.0,True,False,station_point_only
1160820,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,NCANDU,RUST (27661407),-27.84989042,29.84057772,129.0,True,False,station_point_only
1160825,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,HORN RIVER,BALLENGEICH (27661409),-27.89694444,29.95311111,150.0,True,False,station_point_only
1160842,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,KLEIN-BOESMANSRIVIER,ESTCOURT,-29.00525,29.88263889,196.0,True,False,station_point_only
1160850,LAT-030.0_-020.0_LON+0030.0_+0040.0,ZA,BUFFELSRIVIER,TAYSIDE,-28.05932333,30.37337114,5887.0,True,False,station_point_only
1160881,LAT-030.0_-020.0_LON+0020.0_+0030.0,ZA,UTHUKELA,TUGELA DRIFT (27661701),-28.73591667,29.82111111,4154.0,True,False,station_point_only
